51130	8295		7,2	0,5		13,8	11,7	13,3	0,9	0,4	RNM	12,1	0,4	RNM
76627	8240		9,2	4,1		F	F	0,0	F	F	F	F	F	F
76763	8316					17,8	18,2	19,5	20,0	16,8	18	19,5	19,8	20
87818	8316					15,9	17,5	15,5	5,1	17,0	16			
88860	8316		9,5	1,2		12,0	F	10,9	3,3	F	F	13,0	15,6	15
93459	8295		0,0	0,0		F	F	0,0	F	F	RPF			
98059	8295					18,0	15,9	16,0	16,4	16,1	16	F	19,9	19
98175	8322		0,0	0,0		F	F	0,0	F	F	RPF			
98386	8316		0,0	0,0		F	F	0,0	F	F	RPF			
98624	8251		10,9	3,7		15,3	13,9	9,1	1,2	4,0	RNM	F	1,6	RNM
98973	8303		13,3	4,5		14,9	12,7	7,0	4,5	3,7	RNM	F	5,5	RNM
99862	8295		5,1	0,0		13,5	11,2	0,0	0,3	F	F	F	F	F
101063	8295		0,0	0,0		F	F	0,0	F	F	F	F	F	F
101448	8295					16,1	10,6	0,0	F	8,7	10			
101512	8316		5,8	0,0		F	F	0,0	F	F	RPF			
102606	8322		0,0	0,0		F	F	0,0	F	F	RPF			
102659	8322		7,6	0,0		16,8	13,1	10,3	6,9	6,6	10			
103022	8322		5,3	0,0		F	F	0,0	F	F	RPF			
103070	8295					16,6	13,9	12,3	1,5	13,8	13	19,0	11,9	14
103998	8322		5,4	0,0		F	F	0,0	F	F	RPF			
104322	8316		14,8	4,2		17,9	16,2	12,7	3,0	6,4	10			
106961	8322		0,0	0,0		F	F	0,0	F	F	RPF			
106962	8316		8,6	0,0		F	F	0,0	F	F	RPF			
107495	1000					7,8	F	3,5	0,9	F	RPF			
107625	8322		13,5	5,9		18,7	16,9	11,2	6,0	13,0	14			
107764	8322		14,4	4,7		17,9	16,6	16,7	4,5	15,2	15			
107876	8295		11,9	4,0		14,3	13,6	17,7	5,4	8,6	11	15,9	9,8	12
108002	8316		14,6	6,0		18,7	16,0	13,6	6,9	10,2	12			
108045	8316		17,4	6,1		F	F	16,8	1,2	15,1	15			
108115	8316		3,1	0,0		9,7	F	4,4	0,0	F	F	F	F	F
108130	8295		12,2	4,8		13,4	F	7,3	0,6	5,0	RNM	F	10,6	11
108133	8295		14,3	4,6		16,7	11,5	10,5	3,3	F	F	F	1,6	RNM
108154	8316		13,5	7,1		9,0	9,1	13,4	8,1	14,1	13			
108164	8322		10,2	3,3		16,5	15,1	10,7	0,9	F	F	F	F	F
108182	8322		12,8	5,9		16,4	15,7	12,7	14,2	14,2	15			
108212	8316		10,9	5,4		17,0	16,4	19,7	1,2	10,1	12			
108257	8316		15,0	5,3		17,3	14,2	15,2	6,3	4,4	RNM	F	13,8	14
108412	8316		13,9	6,2		15,2	15,0	18,1	10,8	13,7	14			
108689	8316		12,1	4,4		16,8	14,3	18,6	3,6	14,1	14			
108712	8295		13,1	5,0		17,5	13,4	11,5	6,9	13,2	13			
108749	8316		12,2	5,9		15,2	16,4	16,9	6,6	16,6	15			
108770	8316		15,8	4,8		18,3	9,9	4,5	4,5	0,5	RNM	F	0,3	RNM
108807	8322		5,7	0,0		12,1	7,0	11,8	4,5	F	F	F	F	F
108899	8295		11,9	5,3		F	F	16,2	7,5	9,5	11			
108929	8316		9,8	3,0		13,7	9,4	7,2	4,2	0,3	RNM	F	F	F
108931	8322		9,6	1,8		13,9	13,1	9,7	4,8	3,6	RNM	F	2,7	RNM
108944	8322					18,3	14,2	15,1	4,5	9,3	12			
109061	8295					20,0	17,8	9,5	9,9	19,7	18			
109081	8316		0,0	0,0		F	F	0,0	F	F	RPF			
110116	8295		10,6	0,8		13,9	3,8	8,3	0,3	F	F	9,9	0,0	RNM
110150	8295		6,1	0,2		7,0	9,3	9,1	0,3	0,5	RNM	9,1	2,1	RNM
110160	8295		13,3	3,0		17,2	17,3	7,3	12,8	5,5	10			
110177	8316		9,4	2,0		15,8	14,7	17,2	7,2	13,3	14			
110183	8295		11,1	5,4		17,2	12,3	10,8	6,6	10,5	11			
110235	8295		8,5	0,6		9,1	2,7	14,6	3,9	F	F	7,7	0,8	RNM
110329	8316		9,6	0,0		F	F	0,0	F	F	RPF			
110509	8316		12,6	0,0		13,5	14,6	9,6	12,4	12,8	13			
110535	8251					11,6	8,6	4,8	0,3	2,8	RNM	F	1,8	RNM
111586	8322					13,8	6,1	15,6	0,0	0,0	RNM	8,3	0,0	RNM
111590	8295					10,9	16,5	16,9	2,7	7,2	10			
111607	8316					15,6	14,9	10,3	12,8	7,9	11			
111618	8316					F	F	0,0	F	F	RPF			
112462	1000					8,8	4,1	0,0	F	0,0	RNM	F	F	F
112549	8322					17,5	18,2	17,8	6,3	17,9	17			
112597	8322					14,3	8,1	10,4	4,5	5,8	RNM	F	5,4	RNM
112610	8295					20,0	19,4	19,5	20,0	19,8	20			
112657	8316					15,8	15,5	16,8	12,4	12,7	14			
112665	8295					17,9	17,1	17,9	3,9	11,6	13			
112668	8295					19,6	17,6	18,7	1,2	14,0	15			
112678	8316					14,2	14,6	17,7	5,4	15,2	14			
112682	8316					17,0	17,5	18,6	7,5	17,0	16			
112694	8316					11,4	6,7	13,3	3,6	0,4	RNM	10,9	0,6	RNM
112714	8295					16,5	16,0	18,4	7,2	14,1	15			
112726	8316					16,6	15,4	13,5	4,2	10,4	12			
112729	8316					F	F	1,5	F	F	RPF			
112733	8295					18,5	14,2	17,8	10,2	13,5	15			
112754	8316					16,0	12,8	9,2	3,0	F	F	15,4	14,1	15
112771	8316					8,5	7,5	11,1	2,4	F	F	10,2	0,0	RNM
112787	8316					15,0	15,3	17,6	1,5	14,2	14			
112790	8316					17,2	12,6	16,9	0,9	16,8	15			
112822	8316					14,8	10,6	8,0	3,6	4,5	RNM	15,2	7,3	10
112841	8295					18,3	14,2	14,6	1,2	10,5	12			
112876	8295					18,3	17,8	17,9	7,8	13,3	15	F	17,4	18
112901	8295					10,7	16,8	15,0	1,8	5,9	9	17,9	12,3	14
112908	8322					14,5	11,2	17,6	4,5	3,8	RNM	F	F	F
112909	8316					18,2	17,7	18,0	6,9	16,1	16			
112911	8316					13,7	14,2	14,5	4,5	7,1	10			
112920	8316					15,7	15,2	13,9	4,5	13,8	13			
112930	8316					13,5	11,2	9,9	2,4	9,0	10			
112937	8316					19,9	17,9	18,0	6,6	13,7	15			
112938	8316					17,4	12,7	17,8	6,9	7,3	11	F	13,7	14
112957	8295					14,5	8,1	12,9	0,9	6,4	8	15,3	12,3	13
112959	8295					19,2	14,9	13,3	7,2	18,6	17			
112960	8316					15,5	14,7	18,0	7,5	12,1	13			
112974	8295					17,0	15,9	13,6	6,9	17,0	16			
112981	8295					19,7	19,0	19,2	9,6	17,7	18			
112994	8295					17,5	15,4	12,5	14,0	12,0	14			
113012	8322					17,4	17,2	18,3	10,2	15,6	16			
113057	8316					14,7	12,2	14,9	4,2	6,4	9	14,6	5,6	10
113085	8316					16,0	13,1	17,2	12,0	12,6	14			
113093	8316					16,0	14,9	11,8	6,6	7,7	10	17,7	13,7	15
113106	8316					18,3	16,0	14,7	12,6	12,2	14			
113144	8295					20,0	18,9	19,0	19,6	18,9	19			
113167	8316					19,3	14,4	14,7	0,9	12,7	13			
113170	8295					16,8	17,1	19,4	12,4	18,4	18			
113207	8295					15,6	17,9	19,3	16,4	18,0	18			
113221	8316					13,1	16,8	18,3	1,2	15,7	14			
113245	8295					16,7	18,9	16,9	16,0	18,6	18			
113251	8322					17,0	16,4	15,0	10,2	8,6	12			
113261	8316					13,4	14,5	14,0	4,5	1,0	RNM	13,4	5,5	RNM
113272	8322					10,2	4,8	8,8	0,3	0,4	RNM	F	F	F
113275	8316					6,3	F	12,5	0,3	F	F	F	F	F
113278	8295					16,5	17,8	18,0	7,5	11,4	13	17,0	15,8	16
113294	8322					9,4	F	6,0	4,5	F	RPF			
113304	8316					19,5	15,7	17,8	4,8	17,4	16			
113314	8316					12,0	5,2	2,8	1,2	F	F	F	F	F
113324	8316					9,4	18,2	11,9	3,6	5,3	RNM	F	7,6	10
113362	8316					16,1	18,3	12,7	0,9	17,2	15			
113372	8295					16,0	16,2	18,1	5,4	11,1	13			
113384	8295					20,0	18,0	18,1	12,8	17,7	18			
113391	8316					15,0	12,7	13,3	3,6	7,7	10	16,5	F	11
113398	8316					11,6	13,9	16,5	3,6	1,6	RNM	17,6	16,1	17
113402	8295					19,2	17,3	19,4	12,4	12,3	15			
113403	8295					16,5	17,5	19,3	5,1	12,1	14			
113414	8316					17,5	17,0	14,9	20,0	17,9	18			
113417	8322					14,0	14,8	13,2	3,6	7,6	10			
113435	8316					19,0	18,3	16,2	12,6	14,4	16			
113446	8316					18,7	12,6	17,0	10,2	13,0	14			
113464	8322					9,1	1,4	4,0	0,3	0,0	RNM	F	F	F
113470	8316					15,1	14,9	15,8	9,9	15,1	15			
113475	8295					15,7	13,6	17,1	4,8	7,4	10			
113480	8295					20,0	16,6	17,5	4,8	18,7	17			
113482	8295					14,7	16,1	18,3	0,9	18,7	16			
113505	8322					12,3	11,7	7,4	3,0	0,1	RNM	F	F	F
113506	8322					14,2	15,9	17,6	0,9	5,2	RNM	F	15,3	15
113526	8295					17,0	18,5	17,8	1,8	17,8	16			
113532	8295					20,0	19,1	16,4	10,8	18,2	18			
113534	8295					17,9	16,5	16,5	9,3	12,2	14			
113553	8316					17,9	13,6	13,0	5,4	18,1	16			
113581	8322					17,5	13,5	15,2	3,3	3,4	RNM	F	F	F
113585	8295					19,5	18,3	19,4	10,2	17,8	18			
113586	8295					17,8	19,5	19,8	12,4	19,7	19			
113594	8316					17,4	15,3	13,5	3,9	7,9	11			
113600	8316					19,4	17,0	17,7	7,5	17,0	17			
113602	8316					12,2	14,5	13,7	0,6	10,1	11			
113613	8295					15,9	15,2	18,0	3,6	11,6	13			
113626	8295					12,3	17,4	19,2	4,5	14,8	14			
113655	8295					17,7	16,2	16,0	4,5	10,1	12			
113663	8316					17,8	16,1	16,1	12,4	8,3	12			
113664	8295					15,9	11,8	15,8	4,8	6,2	9	14,4	15,9	16
113682	8295					15,1	16,4	19,3	6,9	14,6	15			
113711	8316					18,3	14,8	14,9	13,2	12,7	14			
113713	8295					19,7	19,4	16,8	20,0	19,8	20			
113717	8295					19,2	20,0	17,8	16,2	18,0	18			
113726	8316					15,0	10,7	18,5	4,8	4,5	8	F	0,7	8
113736	8295					17,8	17,6	17,7	14,4	11,2	14			
113763	8295					20,0	14,7	15,2	12,8	18,2	17			
113765	8295					17,3	11,2	18,0	12,8	7,9	11			
113780	8295					17,9	16,6	17,0	16,0	18,3	18			
113786	8295					20,0	18,2	17,8	7,5	19,8	18			
113791	8316					11,3	6,9	12,8	0,3	4,0	RNM	11,5	0,0	RNM
113808	8316					12,0	11,7	9,6	3,9	0,1	RNM	F	0,7	RNM
113811	8316					13,5	13,6	14,3	4,5	4,5	RNM	13,2	9,9	11
113836	8316					17,8	16,1	18,1	6,6	9,2	12			
113889	8295					18,8	20,0	16,9	7,2	19,8	18			
113893	8295					20,0	19,4	18,9	16,8	18,0	19			
113895	8316					11,1	F	7,1	7,8	F	RPF			
113908	8322					15,2	15,3	18,4	3,0	6,1	10			
113920	8295					18,5	17,9	15,9	7,8	16,8	16	F	17,9	18
113939	8316					13,7	13,5	11,1	1,5	3,4	RNM	11,6	13,5	14
113959	8322					12,7	14,4	9,4	1,2	9,1	10			
113962	8295					20,0	16,1	16,0	4,5	18,1	17			
113968	8295					16,1	13,3	18,9	20,0	18,7	18			
113985	8316					6,5	5,1	12,8	0,3	0,0	RNM	F	F	F
114002	8316					15,9	15,1	14,3	4,5	15,4	14			
114034	8316					18,0	17,3	17,9	1,5	17,7	16			
114056	8316					12,6	8,8	15,0	5,1	3,8	RNM	13,5	3,4	RNM
114059	8322					12,2	14,2	10,5	9,6	7,2	10			
114060	8316					10,0	11,0	16,0	4,2	7,6	9	17,6	11,9	14
114091	8316					15,1	F	16,2	9,6	F	RPF			
114093	8316					9,8	12,1	13,5	4,5	3,6	RNM	16,4	11,4	13
114094	8316					13,3	10,5	8,8	0,6	7,7	8	13,7	2,5	9
114095	8316					10,9	F	13,9	0,0	F	F	F	F	F
114129	8295					13,2	12,3	17,8	4,2	1,3	RNM	F	1,4	RNM
114134	8322					12,9	14,0	10,7	3,9	12,9	12			
114137	8295					19,5	17,8	18,5	9,9	17,6	17			
114142	8316					17,3	14,1	16,8	4,8	7,1	10			
114143	8316					15,5	16,2	15,9	1,2	16,8	15			
114184	8316					19,6	18,1	19,3	20,0	18,8	19			
114190	8316					12,4	15,2	18,7	0,9	15,6	14			
114192	8295					16,4	18,2	17,3	5,1	14,4	15			
114196	8295					11,5	12,3	12,8	0,9	0,2	RNM	F	8,4	10
114208	8316					19,2	16,4	18,3	16,2	18,8	18	17,2	18,7	19
114220	8295					16,0	17,1	18,8	4,2	8,9	12			
114221	8322					14,1	12,6	15,4	4,8	16,9	15			
114246	8295					16,9	15,0	17,6	14,2	15,8	16			
114250	8316					17,1	16,3	13,9	12,4	17,8	17			
114252	8316					19,3	16,4	14,8	12,8	15,8	16			
114256	8295					13,5	14,1	7,0	16,0	16,6	15			
114258	8316					18,4	12,1	16,6	12,8	17,0	16	16,6	17,7	17
114273	8295					F	F	9,7	F	F	F	F	F	F
114288	8322					14,4	13,5	17,2	1,2	2,4	RNM	F	3,0	RNM
114292	8316					13,3	14,8	15,0	6,0	8,5	11	13,1	5,2	11
114310	8316					14,4	10,0	9,3	3,9	3,1	RNM	F	F	F
114321	8295					17,8	15,0	19,2	1,8	17,7	16			
114414	8316					14,1	15,4	16,9	1,8	5,4	9	F	F	F
114421	8316					17,0	11,9	15,8	4,2	1,6	RNM	14,5	0,7	RNM
114429	8295					11,9	14,5	13,6	4,8	2,4	RNM	F	2,4	RNM
114472	8316					15,7	14,5	16,0	4,2	17,9	16			
114478	8295					19,2	17,5	18,5	20,0	19,4	19			
114492	8322					16,7	15,1	13,8	0,9	11,0	12			
114514	8295					19,7	18,2	19,6	15,8	20,0	19			
114520	8322					12,6	11,4	15,7	0,6	0,9	RNM	F	2,3	RNM
114525	8316					15,1	10,5	6,8	5,4	5,8	RNM	F	12,4	13
114547	8295					14,9	16,3	18,5	10,2	11,9	14			
114557	8316					10,2	14,3	17,9	3,9	11,1	11			
114560	8316					13,2	9,9	12,2	1,2	1,1	RNM	F	3,7	RNM
114574	8316					14,7	14,4	8,6	0,6	11,8	11			
114588	8295					17,7	14,4	17,9	0,6	9,2	11	F	11,3	13
114591	8316					8,6	12,7	16,0	0,6	2,9	RNM	F	F	F
114597	8316					18,8	16,5	17,9	1,8	16,8	16			
114611	8322					16,3	17,5	18,3	6,6	12,1	14			
114614	8295					15,0	13,4	18,6	4,5	12,0	13			
114622	8295					17,7	19,3	19,0	16,4	19,2	19			
114624	8295					20,0	18,2	19,6	19,6	19,9	20			
114625	8316					12,1	11,6	7,7	3,9	0,0	RNM	F	F	F
114629	8316					16,2	15,4	15,4	1,2	12,6	13			
114640	8295					12,9	13,3	19,1	4,2	11,6	12			
114646	8295					14,6	11,2	19,3	3,6	1,7	RNM	18,5	10,7	13
114827	8316					19,9	20,0	18,9	12,2	19,9	19			
114947	8316					17,9	14,7	14,8	12,6	15,7	16			
114990	8295					19,1	18,5	18,1	6,9	17,4	17			
115178	8295					19,8	19,4	18,8	9,3	18,7	18			
115243	8295					18,7	15,8	19,3	16,2	19,7	19			
115246	8322					17,1	17,1	16,8	3,0	13,3	14			
115304	8295					18,5	18,7	19,2	16,0	19,4	19			
115359	8316					20,0	8,3	16,3	7,2	11,9	13			
115379	8316					16,2	11,9	8,3	4,2	F	F	15,6	10,3	12
115430	1000					19,1	13,0	17,4	6,9	10,2	12			
115621	8295					5,5	F	1,6	0,6	F	RPF			
115637	8295					18,9	20,0	19,3	16,0	18,2	19			
115638	8316					F	F	0,7	F	F	RPF			
115646	8295					9,7	3,0	0,0	F	F	F	F	F	F
115665	8295					9,7	13,7	16,9	0,3	1,1	RNM	F	3,7	RNM
115674	8295					F	F	0,0	F	F	F	F	F	F
115684	8295					F	F	0,0	F	F	RPF			
115696	8295					F	F	1,9	F	F	F	F	F	F
115697	8295					18,2	16,9	0,0	F	13,3	15			
115739	8316					F	F	0,0	F	F	RPF			
115785	8295					10,2	10,5	12,9	0,6	3,0	RNM	F	1,4	RNM
115876	8316					8,6	F	5,4	0,0	F	F	F	F	F
115884	8316					14,5	15,4	15,5	1,5	17,2	15			
115931	8316					13,1	13,0	9,1	7,8	4,0	RNM	9,1	2,4	RNM
116007	8316					F	F	0,0	F	F	RPF													
106078	8295		17,6	16,7							ML	16,9	18,6	18
108598	8316		20,0	17,1							ML	F	17,8	19
108647	8316		16,4	7,0							ML	F	14,2	15
108668	8316		16,7	9,4							ML	F	F	F
108756	8295		16,6	15,7							ML	19,4	18,8	19